deviceModel,friendlyName
969,Accu-Chek Instant S
iPhone,Unknown
FreeStyle Libre Pro,Abbott FreeStyle Libre Pro
HealthKit_DexUnknown: com.apple.Health,Dexcom
Diabox,Unknown
Nexus,Unknown
BluCon,Unknown
1741,Unknown
Nexus Mini Ultra,GlucoRx Nexus Mini Ultra
OKMETER MatchII,Unknown
Guardian Connect,Medtronic Guardian CGM
981,Accu-Chek Instant
FreeStyle Libre app,Abbott FreeStyle Libre
DexcomShare,Dexcom
G6,Unknown
500,Unknown
FreeStyle Libre 2 MBGA161-G1265,Abbott FreeStyle Libre
FreeStyle Libre JCMW071-T1802,Abbott FreeStyle Libre
FreeStyle LibreLink 660d95ff-9d44-4a29-a198-0c3277789e69,Abbott FreeStyle Libre
מיאומיאו,Unknown
Network G4,Unknown
Miaomiao,Unknown
DexHealthKit_Dexcom:com.dexcom.Share2:3.0.4.17,Dexcom
1512,Unknown
OneTouch Verio,OneTouch Verio
FreeStyle Libre 2 MBGB009-J0688,Abbott FreeStyle Libre
MMT-1712,Medtronic Insulin Pump
DexHealthKit_Health:com.apple.Health:9.2,Dexcom
1781(01),Unknown
483,Accu-Chek Aviva Connect
GT-1920,Unknown
Dexcom,Dexcom
100271,Tandem t:slim X2
HCT,Unknown
CareSensNPlus,CareSens N Plus
FreeStyleリブレLink,Unknown
OneTouchUltra2-JNGZ162,OneTouch Ultra 2
Network Tomato,Unknown
Paradigm 715,Medtronic Insulin Pump
VerioSy,Unknown
OneTouch VerioIQ,OneTouch VerioIQ
Network libre,Abbott FreeStyle Libre
FreeStyle Libre 2,Abbott FreeStyle Libre
4116,Unknown
1003717,Unknown
Bayer7160,Contour Next EZ
FreeStyle LibreLink,Abbott FreeStyle Libre
Element Verio,Unknown
Insulet,Unknown
DexbridgeWixel,Unknown
4235,GlucoRx
FreeStyleリブレ,Unknown
4282,Unknown
HealthKit_DexUnknown: org.tidepool.nutshell,Dexcom
VerioPr,Unknown
FreeStyle Optium Neo,Abbott FreeStyle Optium Neo
BluetoothWixel,Unknown
FreeStyle Libre 2,Abbott FreeStyle Libre
FreeStyle Libre 2 special edition app,Abbott FreeStyle Libre
فري ستايل ليبري,Unknown
G4Platinum,Dexcom G4
Medtrum,Unknown
Unknown,Unknown
Accu-Chek Aviva,Accu-Chek Aviva
Dexcom Gen6 Receiver,Dexcom
meter+16163411,Unknown
FreeStyle Libre 3,Abbott FreeStyle Libre
Model Number,Unknown
硅基补丁版App,Unknown
VerioVue,Unknown
三诺补丁版App,Unknown
DexcomG6,Dexcom G6
Network Bubble,Unknown
Transmiter PL,Unknown
Go,Unknown
1781(04),Unknown
BlueReader,Unknown
皺,Unknown
Guardian 4,Unknown
Libreview_PT,Unknown
"Application FreeStyle LibreLink, édition spéciale",Unknown
FreeStyle Libre2,Abbott FreeStyle Libre
